left_x,left_y,right_x,right_y,horizontalRatio,verticalRatio,Centre,Left,Right,Up,Down
496,380,613,366,0.6216666666666667,0.7017543859649122,1,0,0,0,0
520,399,630,389,0.5811425682507583,0.7729166666666667,1,0,0,0,0
529,399,634,395,0.6442687747035574,0.7729166666666667,1,0,0,0,0
539,401,637,402,0.6912698412698413,0.8642857142857143,1,0,0,0,0
534,416,640,412,0.6205654101995566,0.775,1,0,0,0,0
539,419,642,412,0.6127371273712737,0.7729166666666667,1,0,0,0,0
540,406,647,397,0.5821256038647343,0.7140522875816994,1,0,0,0,0
540,370,647,371,0.5644796380090498,0.8406432748538011,1,0,0,0,0
529,384,656,374,0.5665926748057714,0.7222222222222222,1,0,0,0,0
524,378,664,368,0.5562613430127041,0.675,1,0,0,0,0
518,373,678,365,0.575268817204301,0.7986842105263158,1,0,0,0,0
511,374,674,367,0.5369690011481056,0.6754385964912281,1,0,0,0,0
503,370,672,360,0.5523200757575757,0.7171052631578947,1,0,0,0,0
503,377,658,363,0.5733173076923077,0.6442687747035574,1,0,0,0,0
495,375,648,361,0.5698412698412698,0.6225296442687747,1,0,0,0,0
478,367,637,355,0.5873015873015872,0.8500000000000001,1,0,0,0,0
457,374,609,356,0.5454802259887006,0.7,1,0,0,0,0
425,347,576,350,0.5862026862026861,0.5416666666666667,1,0,0,0,0
375,392,521,364,0.5532786885245902,0.6761363636363636,1,0,0,0,0
314,364,474,361,0.5806451612903225,0.6516290726817042,1,0,0,0,0
278,403,426,373,0.5561075394506136,0.6818181818181819,1,0,0,0,0
255,407,401,375,0.5603448275862069,0.6818181818181819,1,0,0,0,0
257,406,401,375,0.5689655172413793,0.6452569169960474,1,0,0,0,0
273,364,433,367,0.5313557116835805,0.6278195488721805,1,0,0,0,0
326,377,472,365,0.6048387096774194,0.841897233201581,1,0,0,0,0
349,374,497,361,0.6032786885245902,0.7484472049689441,1,0,0,0,0
379,382,523,366,0.5850079323109466,0.6904761904761905,1,0,0,0,0
394,368,544,361,0.5932203389830508,0.675,1,0,0,0,0
411,372,557,359,0.5547925189947399,0.6764705882352942,1,0,0,0,0
470,362,613,356,0.5482456140350878,0.6944444444444444,1,0,0,0,0
544,356,683,355,0.5771103896103896,0.7261904761904762,1,0,0,0,0
602,356,744,358,0.55368782161235,0.75,1,0,0,0,0
655,352,802,358,0.5162037037037037,0.675,1,0,0,0,0
704,364,847,369,0.5781420765027323,0.7368421052631579,1,0,0,0,0
731,365,875,375,0.5728494623655914,0.6904761904761905,1,0,0,0,0
753,368,895,379,0.5209016393442623,0.6753246753246753,1,0,0,0,0
773,370,913,384,0.540983606557377,0.6904761904761905,1,0,0,0,0
788,374,924,385,0.5827283726557774,0.725,1,0,0,0,0
803,374,950,391,0.5666666666666667,0.6904761904761905,1,0,0,0,0
821,378,968,399,0.5786885245901638,0.6956521739130435,1,0,0,0,0
832,379,973,397,0.5292372881355932,0.7083333333333333,1,0,0,0,0
827,377,967,395,0.525,0.7,1,0,0,0,0
799,378,940,391,0.55,0.725,1,0,0,0,0
763,375,905,385,0.5460451977401131,0.7105263157894737,1,0,0,0,0
736,374,875,381,0.5517241379310345,0.6779448621553885,1,0,0,0,0
696,376,835,375,0.5508474576271186,0.7032163742690059,1,0,0,0,0
666,375,803,371,0.5758620689655172,0.6921052631578948,1,0,0,0,0
638,372,774,366,0.5672077922077922,0.7058823529411765,1,0,0,0,0
602,371,742,365,0.4945842068483578,0.7928571428571429,1,0,0,0,0
590,381,725,370,0.5223905723905724,0.7,1,0,0,0,0
586,379,718,367,0.5594276094276094,0.6904761904761905,1,0,0,0,0
580,376,711,365,0.5508417508417508,0.7,1,0,0,0,0
571,373,702,363,0.5592592592592592,0.72953216374269,1,0,0,0,0
565,368,694,358,0.5672077922077922,0.72953216374269,1,0,0,0,0
562,356,691,347,0.5602725366876311,0.7136363636363636,1,0,0,0,0
560,342,689,334,0.5545454545454545,0.7,1,0,0,0,0
560,329,688,322,0.5683501683501684,0.7071428571428571,1,0,0,0,0
559,323,687,318,0.5634648370497427,0.7184210526315788,1,0,0,0,0
556,321,684,312,0.5471698113207547,0.7182539682539683,1,0,0,0,0
554,317,681,309,0.5559116809116809,0.743421052631579,1,0,0,0,0
