left_x,left_y,right_x,right_y,horizontalRatio,verticalRatio,cursor_x,cursor_y
563,376,669,366,0.5851063829787234,0.7058823529411765,1045.00390625,0.0
564,378,669,366,0.5851063829787234,0.6944444444444444,1000.796875,0.0
563,376,668,365,0.5703052728954672,0.6584967320261439,1000.33203125,0.0
563,376,669,365,0.5638297872340425,0.6764705882352942,961.62109375,7.25390625
564,377,670,366,0.5652173913043479,0.7058823529411765,902.15625,19.9375
565,376,671,366,0.5911193339500462,0.71875,850.82421875,27.8359375
565,377,672,366,0.5811748381128585,0.684640522875817,850.82421875,27.8359375
566,377,672,367,0.5802497687326549,0.7140522875816994,779.09765625,48.66796875
568,376,674,367,0.5760869565217391,0.7058823529411765,731.7265625,41.28125
570,377,676,367,0.6024514338575393,0.6862745098039216,688.20703125,30.22265625
570,377,676,366,0.5978260869565217,0.6388888888888888,645.890625,27.046875
571,377,676,367,0.6024514338575393,0.6491228070175439,613.140625,5.796875
572,378,678,368,0.6041666666666667,0.7032163742690059,599.4765625,0.0
573,377,680,368,0.6026827012025902,0.6861111111111111,599.4765625,0.93359375
574,377,681,368,0.6086956521739131,0.65,601.28515625,116.08984375
576,379,682,371,0.6063829787234043,0.7361111111111112,604.125,182.25
575,379,681,371,0.5918131359851989,0.6921052631578948,607.60546875,206.8671875
576,380,682,373,0.5957446808510638,0.7222222222222222,613.05078125,288.84375
575,382,681,373,0.6086956521739131,0.72953216374269,616.86328125,326.87109375
574,383,681,374,0.6170212765957447,0.7309941520467836,619.984375,361.19921875
575,384,682,376,0.6170212765957447,0.72953216374269,623.80859375,406.4765625
575,384,682,376,0.6026827012025902,0.7184210526315788,634.859375,433.05859375
573,385,680,378,0.6017576318223867,0.7222222222222222,613.8359375,430.92578125
576,386,682,378,0.6048309178743961,0.7309941520467836,511.35546875,412.25
578,385,684,377,0.6195652173913044,0.6671052631578948,418.8046875,395.57421875
577,385,683,378,0.6222222222222222,0.6842105263157895,386.69140625,395.59375
582,385,689,379,0.631678486997636,0.6578947368421053,376.33203125,395.59375
587,383,694,378,0.6214539007092199,0.7222222222222222,314.42578125,407.16796875
590,384,697,378,0.624190564292322,0.6666666666666667,271.25,385.13671875
591,384,697,379,0.6390398550724637,0.6687306501547987,240.1015625,360.3359375
592,384,699,381,0.6456984273820536,0.7058823529411765,220.28515625,328.40625
595,384,700,380,0.6345975948196114,0.6985294117647058,216.734375,300.37890625
595,385,701,381,0.6529550827423167,0.71875,213.6875,258.2890625
593,385,700,381,0.6376811594202898,0.6769005847953216,214.29296875,251.89453125
592,385,699,379,0.6707729468599034,0.6388888888888888,225.84375,238.41015625
591,386,698,381,0.6576388888888889,0.6862745098039216,245.60546875,205.12109375
590,385,698,379,0.6566205533596838,0.6944444444444444,278.8046875,191.33984375
590,385,697,379,0.6379227053140097,0.6578947368421053,317.40625,178.2578125
590,384,697,380,0.6456984273820536,0.6862745098039216,340.46484375,152.546875
590,385,698,379,0.6394927536231885,0.6578947368421053,362.31640625,161.82421875
590,386,697,378,0.6390398550724637,0.6388888888888888,439.21875,160.82421875
588,386,695,380,0.6063829787234043,0.631578947368421,503.2578125,170.10546875
580,389,688,382,0.612395929694727,0.6388888888888888,596.77734375,181.5703125
578,388,685,381,0.5918131359851989,0.6671052631578948,681.34375,181.63671875
577,389,683,382,0.5828502415458937,0.6842105263157895,822.8515625,154.98046875
574,391,680,380,0.5687056737588652,0.6981424148606811,854.83203125,146.65625
571,390,676,379,0.5580673758865249,0.6424148606811146,954.59375,187.44140625
569,390,676,380,0.5680407801418439,0.6754385964912281,976.62890625,171.234375
568,390,674,379,0.5680407801418439,0.6861111111111111,1045.77734375,148.38671875
565,390,671,378,0.5576241134751774,0.6769005847953216,1058.31640625,149.53125
561,391,667,380,0.5425531914893618,0.6491228070175439,1122.9921875,140.69140625
558,391,664,381,0.5363475177304965,0.6944444444444444,1160.03125,163.01953125
552,392,662,382,0.5046542553191489,0.695046439628483,1179.48828125,258.86328125
551,394,661,384,0.5046253469010176,0.7507739938080495,1179.00390625,348.1796875
552,394,661,385,0.5261332099907493,0.7032163742690059,1183.015625,354.54296875
552,394,661,385,0.5154949121184089,0.6921052631578948,1198.74609375,402.79296875
555,396,662,386,0.5372340425531915,0.7255639097744361,1206.86328125,499.59375
552,395,661,385,0.5,0.7507739938080495,1206.86328125,499.59375
555,396,661,385,0.5461309523809523,0.7032163742690059,1210.95703125,547.0390625
553,395,661,385,0.5,0.6921052631578948,1215.38671875,612.8828125
553,396,662,386,0.532608695652174,0.7032163742690059,1214.75,661.9609375
557,398,663,387,0.5372340425531915,0.7184210526315788,1172.578125,691.41796875
558,398,664,388,0.5531914893617021,0.7184210526315788,1110.953125,696.3125
560,398,666,387,0.5696114708603145,0.7361111111111112,1059.0078125,698.328125
560,397,666,387,0.5587419056429233,0.7361111111111112,1052.80078125,684.67578125
560,396,666,387,0.5531914893617021,0.7573529411764706,1054.99609375,579.0390625
561,396,667,385,0.5696114708603145,0.7434640522875817,1030.1640625,497.25390625
558,394,668,385,0.5212765957446808,0.6671052631578948,930.91015625,483.22265625
566,396,672,386,0.5973995271867611,0.7058823529411765,886.1015625,538.15234375
566,399,672,389,0.5978260869565217,0.6862745098039216,818.109375,638.95703125
566,400,672,391,0.5929951690821256,0.75,769.30859375,648.0234375
567,400,674,391,0.6086956521739131,0.7573529411764706,749.34375,653.47265625
567,398,674,388,0.5869565217391304,0.7647058823529411,639.5078125,639.5546875
570,398,675,388,0.6019888991674376,0.7279411764705883,610.60546875,610.3125
572,399,678,389,0.6086956521739131,0.7279411764705883,593.328125,573.484375
573,397,680,389,0.6170212765957447,0.7058823529411765,553.91015625,525.12890625
577,397,683,390,0.623959296947271,0.7279411764705883,524.2578125,500.984375
579,396,685,390,0.6094562647754138,0.7279411764705883,522.83203125,497.73046875
580,396,687,389,0.6268115942028986,0.6862745098039216,476.859375,436.359375
581,395,686,389,0.6184343434343433,0.7279411764705883,446.234375,403.58203125
582,394,689,387,0.624190564292322,0.6764705882352942,409.31640625,336.21875
583,394,689,387,0.6297979797979798,0.6769005847953216,403.60546875,319.07421875
583,394,689,387,0.6268115942028986,0.6862745098039216,402.30859375,315.2578125
583,395,689,388,0.6348288621646623,0.7140522875816994,379.66796875,265.9140625
584,394,691,388,0.6423167848699763,0.7352941176470589,362.74609375,236.9375
585,394,691,387,0.6286231884057971,0.7058823529411764,342.3359375,186.09765625
585,393,691,386,0.6195652173913044,0.6228070175438596,323.53125,167.27734375
586,394,692,387,0.6390398550724637,0.6944444444444444,316.39453125,159.13671875
586,394,694,388,0.6459296947271045,0.7032163742690059,263.12109375,107.89453125
590,393,697,386,0.6563367252543941,0.6769005847953216,228.40234375,89.4296875
591,394,698,388,0.6348288621646623,0.6944444444444444,179.015625,71.32421875
593,395,700,389,0.648792270531401,0.6764705882352942,146.8671875,155.2890625
596,397,702,390,0.6465277777777778,0.6228070175438596,142.73046875,184.8359375
597,398,704,393,0.6599033816425122,0.6862745098039216,142.73046875,185.06640625
598,398,705,393,0.6465277777777778,0.6862745098039216,132.3203125,264.12890625
600,398,706,394,0.6529550827423167,0.7058823529411765,140.45703125,332.3515625
599,398,705,393,0.6529550827423167,0.6985294117647058,143.49609375,372.359375
598,398,704,394,0.6529550827423167,0.7352941176470589,149.6015625,383.10546875
596,394,704,390,0.6707729468599034,0.6966911764705883,160.33203125,414.4375
595,393,703,389,0.6615087040618955,0.6842105263157895,196.0234375,453.1796875
594,392,700,387,0.6531850353892821,0.6754385964912281,218.1875,472.6875
596,393,703,388,0.6534278959810875,0.7279411764705883,241.80859375,478.765625
593,393,700,388,0.6566205533596838,0.7017543859649122,243.71875,478.50390625
590,394,696,388,0.648792270531401,0.6934210526315789,256.59765625,509.98046875
590,395,695,390,0.6561264822134387,0.72953216374269,276.94921875,555.36328125
589,395,694,390,0.6454671600370028,0.7222222222222222,300.890625,582.0625
587,395,692,389,0.6230237154150198,0.7309941520467836,332.49609375,615.85546875
586,394,692,389,0.6268115942028986,0.7222222222222222,378.2734375,630.453125
586,395,693,389,0.648792270531401,0.6861111111111111,409.27734375,612.21875
584,395,689,389,0.6045893719806763,0.75,409.27734375,612.21875
582,391,689,383,0.6363636363636365,0.6739766081871346,445.01953125,592.21875
580,383,684,376,0.6022727272727273,0.7297794117647058,490.1640625,556.39453125
581,382,685,377,0.6184343434343433,0.75,491.05078125,553.97265625
588,380,691,377,0.6136363636363636,0.6985294117647058,491.98046875,553.97265625
608,371,711,384,0.635142118863049,0.7140522875816994,528.140625,525.8828125
618,368,719,389,0.6372093023255814,0.7105263157894737,565.91015625,502.015625
618,367,719,390,0.624031007751938,0.65,572.6875,483.8984375
619,366,721,389,0.6432346723044398,0.6504329004329004,573.1484375,483.8984375
624,356,725,390,0.6563192904656319,0.6447368421052632,627.140625,443.31640625
639,350,737,393,0.6761363636363636,0.5909090909090909,650.8828125,425.94921875
643,350,743,382,0.7158616577221228,0.6407894736842106,654.12890625,422.95703125
633,346,737,367,0.6958874458874459,0.47058823529411764,654.12890625,422.95703125
622,352,727,356,0.6813399778516058,0.4666666666666667,654.12890625,422.95703125
564,376,665,355,0.6243078626799556,0.7361111111111112,654.12890625,422.95703125
571,377,671,352,0.6089052750992626,0.5729166666666666,654.12890625,422.95703125
587,416,673,408,0.5732574679943101,0.6153846153846154,654.12890625,422.95703125
586,423,674,418,0.6351351351351351,0.7348484848484849,671.0859375,408.4453125
582,440,668,432,0.6527777777777778,0.6620879120879121,683.828125,382.125
579,440,666,434,0.6295045045045045,0.7916666666666667,724.72265625,356.1953125
577,425,669,421,0.6690921690921692,0.5666666666666667,744.2578125,330.82421875
570,403,665,393,0.5964912280701754,0.6,778.36328125,259.828125
567,390,666,384,0.6350844277673546,0.71875,778.36328125,259.828125
562,374,659,364,0.558990357345434,0.6083333333333334,788.42578125,259.828125
555,356,661,345,0.5777777777777777,0.6470588235294117,819.19140625,227.49609375
548,346,657,337,0.5729166666666666,0.609907120743034,840.27734375,188.78125
529,340,646,326,0.5776923076923077,0.6198830409356726,878.85546875,151.32421875
